"","AlignID","tmean","FoundIn","Name.1","MatchFactor.1","DB.Id.1","CAS.1","Formula.1","Name.2","MatchFactor.2","DB.Id.2","CAS.2","Formula.2","Name.3","MatchFactor.3","DB.Id.3","CAS.3","Formula.3","Name.4","MatchFactor.4","DB.Id.4","CAS.4","Formula.4","Name.5","MatchFactor.5","DB.Id.5","CAS.5","Formula.5","Name.6","MatchFactor.6","DB.Id.6","CAS.6","Formula.6","Name.7","MatchFactor.7","DB.Id.7","CAS.7","Formula.7","Name.8","MatchFactor.8","DB.Id.8","CAS.8","Formula.8","Name.9","MatchFactor.9","DB.Id.9","CAS.9","Formula.9","Name.10","MatchFactor.10","DB.Id.10","CAS.10","Formula.10","Cory_Mreu_Rep1_6262023_32","Cory_Mreu_Rep2_6262023_33","Strl_Rep1_6302023_20","Strl_Rep1_6302023_14","VialBlank_6262023_31"
"11",11,0.0912,8,"Tridecane, 3-methylene-","94.37"," 51616","19780348","C14H28","2-Undecene, 3-methyl-, (Z)-","94.21"," 33174","57024905","C12H24","2-Undecene, 3-methyl-, (E)-","94.21"," 33172","74630470","C12H24","2-Decene, 3-methyl-, (Z)-","94.19"," 24491","74630265","C11H22","2-Nonene, 3-methyl-, (E)-","93.05"," 16366","17003995","C10H20","2-Octene, 3,7-dimethyl-, (Z)-","93.00"," 16376","6874324","C10H20","Cyclopentane, 1,2,3-trimethyl-, (1.alpha.,2.alpha.,3.alpha.)-","92.92","  6250","2613696","C8H16","Undecane, 3-methylene-","92.80"," 33140","71138642","C12H24","Cyclopentane, 1,2,3-trimethyl-, (1.alpha.,2.alpha.,3.alpha.)-","92.37","  6251","2613696","C8H16","Hexane, 2-methyl-4-methylene-","92.08","  6193","3404806","C8H16",0,0,0,0,0
"12",12,0.1008,6,"1-Penten-3-one, 4-methyl-","95.78","  2933","1606479","C6H10O","1-Penten-3-one, 4-methyl-","95.42","  2919","1606479","C6H10O","2-Propenoic acid, oxiranylmethyl ester","95.33"," 10982","106901","C6H8O3","2-Propenoic acid, oxiranylmethyl ester","94.91"," 10983","106901","C6H8O3","1-Hexen-3-one","94.73","  2854","1629603","C6H10O","6-Ethyl-3-(prop-2-enoyloxy)decane","94.62"," 80995","1000245682","C15H28O2","1-[(1-Oxo-2-propenyl)oxy]-2,5-pyrrolidinedione","94.43"," 33924","38862247","C7H7NO4","3-Butyn-2-ol","94.42","   457","2028639","C4H6O","2-Propenoic acid, oxiranylmethyl ester","94.21"," 10980","106901","C6H8O3","1-[(1-Oxo-2-propenyl)oxy]-2,5-pyrrolidinedione","94.21"," 33923","38862247","C7H7NO4",0,0,0,0,0
"13",13,0.1008,6,"2-Ethylhexyl acrylate","92.37"," 43118","103117","C11H20O2","Hexanal, 4-methyl-","92.09","  6830","41065978","C7H14O","Acetic acid, 2-ethylhexyl ester","91.59"," 35453","103093","C10H20O2","1-Heptene, 5-methyl-","91.47","  6095","13151047","C8H16","Tridecane, 3-methylene-","91.26"," 51616","19780348","C14H28","5-Ethyl-1-nonene","91.06"," 24450","19780746","C11H22","5-Undecene, 3-methyl-, (E)-","90.79"," 33171","74630674","C12H24","Carbonic acid, ethyl 2-ethylhexyl ester","90.63"," 54918","1000383131","C11H22O3","3-Methylheptyl acetate","90.54"," 35390","72218587","C10H20O2","Formic acid, 2-methylbutyl ester","90.41","  7525","1000367911","C6H12O2",0,0,0,0,0
"14",14,0.0875,4,"2-Ethylhexyl acrylate","94.49"," 43117","103117","C11H20O2","4-Octene, (E)-","94.41","  6051","14850238","C8H16","2-Octene, (E)-","94.16","  6061","13389429","C8H16","4-Octene, (E)-","93.64","  6064","14850238","C8H16","2-Octene, (E)-","93.62","  6050","13389429","C8H16","3-Octene, (Z)-","93.53","  6062","14850227","C8H16","Cyclohexanone, 4-methyl-","93.40","  5948","589924","C7H12O","4-Octene, (Z)-","93.02","  6049","7642151","C8H16","2-Ethylhexyl acrylate","92.97"," 43116","103117","C11H20O2","3-Nonene, 3-methyl-, (E)-","92.68"," 16364","69405421","C10H20",0,0,0,0,0
"15",15,0.09,4,"2-Propenoic acid, 1-methylundecyl ester","93.22"," 81009","51443733","C15H28O2","2-(Prop-2-enoyloxy)pentadecane","92.79","107612","1000245673","C18H34O2","3-(Prop-2-enoyloxy)tetradecane","92.12"," 98672","1000245671","C17H32O2","2-Octanol","92.08"," 12349","123966","C8H18O","5-(Prop-2-enoyloxy)pentadecane","91.95","107615","1000245676","C18H34O2","2-Octanol, (R)-","91.93"," 12376","5978701","C8H18O","2-Octanol, (R)-","91.64"," 12373","5978701","C8H18O","3-(Prop-2-enoyloxy)dodecane","91.09"," 80974","1000245666","C15H28O2","2-Octanol, (S)-","91.04"," 12374","6169068","C8H18O","2-Octanol, (S)-","90.86"," 12377","6169068","C8H18O",0,0,0,0,0
"16",16,0.09,3,"2-Propenoic acid, 6-methylheptyl ester","94.17"," 43208","54774913","C11H20O2","4-(Prop-2-enoyloxy)octane","93.58"," 43132","42928870","C11H20O2","2-Ethylhexyl acrylate","93.23"," 43114","103117","C11H20O2","2-Ethylhexyl acrylate","92.76"," 43118","103117","C11H20O2","5-Undecene, 3-methyl-, (E)-","91.22"," 33171","74630674","C12H24","1-Octen-3-one","91.14"," 10244","4312996","C8H14O","1-Hepten-3-one","91.09","  5891","2918130","C7H12O","2-Ethylhexyl acrylate","90.98"," 43117","103117","C11H20O2","1,2-Oxaborolane, 2-ethyl-4,5-dimethyl-","90.85"," 10229","74685453","C7H15BO","Cyclopentane, 1,2,4-trimethyl-","90.77","  6206","2815589","C8H16",0,0,0,0,0
"17",17,0.1083,3,"Acetic acid, 2-ethylhexyl ester","94.13"," 35454","103093","C10H20O2","Acetic acid, 2-ethylhexyl ester","93.77"," 35455","103093","C10H20O2","4-Nitrobenzoic acid, cyclobutyl ester","93.57"," 67918","70335001","C11H11NO4","Carbonic acid, ethyl 2-ethylhexyl ester","92.82"," 54918","1000383131","C11H22O3","1H-1,2,4-Triazole, 1-octadecanoyl-","92.82","139774","60718550","C20H37N3O","Acetic acid, 2-ethylhexyl ester","92.57"," 35451","103093","C10H20O2","1-Decene, 3,3,4-trimethyl-","91.16"," 42241","49622175","C13H26","Octanoic acid, 3-methylbutyl ester","91.07"," 63619","2035996","C13H26O2","1-Isopropyl-2,2-dimethylpropylideneamine","90.99"," 10839","1000210053","C8H17N","2-Undecene, 3-methyl-, (Z)-","90.98"," 33174","57024905","C12H24",0,0,0,0,0
"18",18,0.0883,3,"2-Ethylhexyl acrylate","92.81"," 43118","103117","C11H20O2","2-Propenoic acid, 6-methylheptyl ester","92.01"," 43208","54774913","C11H20O2","5-Undecene, 3-methyl-, (E)-","91.43"," 33171","74630674","C12H24","4-(Prop-2-enoyloxy)octane","91.14"," 43132","42928870","C11H20O2","Cyclopentane, 1,2,4-trimethyl-","91.00","  6206","2815589","C8H16","2-Ethylhexyl acrylate","90.76"," 43114","103117","C11H20O2","2,4-Dimethyl-1-heptene","90.37"," 10470","19549872","C9H18","Cyclopentane, 1,2,3-trimethyl-, (1.alpha.,2.alpha.,3.alpha.)-","90.12","  6251","2613696","C8H16","Cyclopentane, 1,2,3-trimethyl-, (1.alpha.,2.alpha.,3.alpha.)-","90.03","  6252","2613696","C8H16","2-Undecene, 9-methyl-, (E)-","89.78"," 33178","74630469","C12H24",0,0,0,0,0
"19",19,0.08,2,"2-Heptanol, 5-ethyl-","91.30"," 19009","19780406","C9H20O","3-(Prop-2-enoyloxy)dodecane","90.32"," 80974","1000245666","C15H28O2","10-Undecenoic acid, octyl ester","90.21","116455","28080855","C19H36O2","3-Hexanol, 2,2-dimethyl-","89.97"," 12446","4209909","C8H18O","5-Methyl-1-hexyn-3-ol","89.75","  5912","61996790","C7H12O","4-Pentenal, 2-ethyl-","89.62","  5905","5204808","C7H12O","Heptane, 1-nitro-","89.59"," 19242","693390","C7H15NO2","Oxalic acid, cyclobutyl octyl ester","89.57"," 90854","1000309699","C14H24O4","Oxalic acid, cyclobutyl nonyl ester","89.36"," 99765","1000309700","C15H26O4","2-Nitro-2-ethyl-1,3-propanediol","89.11"," 21055","597091","C5H11NO4",0,0,0,0,0
"20",20,0.0825,2,"Heptane, 3-methylene-","95.89","  6118","1632162","C8H16","Heptane, 3-methylene-","94.13","  6117","1632162","C8H16","Cyclopentane, 1,2,4-trimethyl-","93.79","  6203","2815589","C8H16","Cyclopentane, 1,2,4-trimethyl-, (1.alpha.,2.alpha.,4.beta.)-","93.64","  6247","4850286","C8H16","Hexane, 2-methyl-4-methylene-","93.58","  6193","3404806","C8H16","1-Decen-3-one","93.21"," 24037","56606792","C10H18O","Heptane, 3-methylene-","92.98","  6109","1632162","C8H16","Hexane, 2-methyl-4-methylene-","92.92","  6199","3404806","C8H16","Cyclopentane, 1,2,4-trimethyl-, (1.alpha.,2.beta.,4.alpha.)-","92.89","  6246","16883480","C8H16","Cyclopentane, 1,2,4-trimethyl-","92.39","  6206","2815589","C8H16",0,0,0,0,0
"21",21,0.1075,2,"Cyanic acid, sec-butyl ester","87.78","  3197","1873138","C5H9NO","Pentanal, 3-(hydroxymethyl)-4,4-dimethyl-","87.64"," 18880","56805313","C8H16O2","2-(Allylamino)ethanol","87.57","  3759","2424002","C5H11NO","Formic acid, 2-methylbutyl ester","87.36","  7525","1000367911","C6H12O2","Acetic acid, 2-ethylhexyl ester","86.86"," 35453","103093","C10H20O2","N-Isopentylidene-2-butylamine","86.56"," 17298","1000249999","C9H19N","3-Methylheptyl acetate","86.45"," 35390","72218587","C10H20O2","cis-1,2-Cyclohexanediol","86.33","  7453","1792810","C6H12O2","Carbonic acid, 2-ethylhexyl propyl ester","86.29"," 64664","1000383132","C12H24O3","Pentane, 3-ethyl-2-methyl-","86.17","  7034","609267","C8H18",0,0,0,0,0
"22",22,0.0425,2,"1-Hexanamine, N-hexyl-","93.66"," 44038","143168","C12H27N","1,5-benzodiazocin-6(1H)-one, 8,10-bis(dodecylsulfonyl)-2,3,4,5-tetrahydro-5-methyl-","93.11","183161","1000399952","C35H62N2O5S2","1-Octadecanamine","92.84"," 99398","124301","C18H39N","Spiro[2-cyclohexene-1,2'(1'H)-cyclopenta[de]naphthacene]-9'-carboxamide, 7',7'a,8',11',11'a,12'-hexahydro-5',6',7'a,10',11'a,12'-hexahydroxy-3'-methoxy-2,6,6-trimethyl-7',8'-dioxo-, (2'.alpha.,7'a.beta.,11'a.beta.,12'.beta.)-(-)-","92.41","181959","39277413","C30H31NO10","2-Heptanamine, 5-methyl-","91.81"," 11853","53907816","C8H19N","1-Undecanamine","91.44"," 35036","7307553","C11H25N","n-Heptyl-N'-(7-[2-(heptyl-methyl-carbamoyl)-acetylamino]-heptyl)-N-methyl-malonamide","91.30","180831","1000189692","C29H56N4O4","2-Thiophenecarboxylic acid, 5-(1,1-dimethylethoxy)-","91.25"," 54287","54889428","C9H12O3S","2-(Oxan-3-yl)ethanamine","90.54"," 11745","1000411075","C7H15NO","Pentanal","90.44","  1565","110623","C5H10O",0,0,0,0,0
"23",23,0.05,2,"1-Methoxy-3-methyl-3-butene","87.17","  3597","34752584","C6H12O","cis-1,4-Diacetoxy-2-butene","83.84"," 35968","25260600","C8H12O4","2-Butene-1,4-diol, diacetate","83.44"," 35969","18621755","C8H12O4","1-Butene-1,4-diol, diacetate","83.41"," 35970","54484672","C8H12O4","1-Methoxy-3-methyl-3-butene","82.73","  3608","34752584","C6H12O","2,6-Cyclooctadien-1-ol","82.19","  9518","10017182","C8H12O","2-Butene-1,4-diol, diacetate","81.57"," 35972","18621755","C8H12O4","cis-2-Butenylene diacetate","81.34"," 35967","1000227833","C8H12O4","6-Methyl-cyclohex-2-en-1-ol","80.85","  5978","1000144173","C7H12O","5-Hexynoic acid","80.44","  5767","53293008","C6H8O2",0,0,0,0,0
"24",24,0.095,2,"(-)-Menthylamine","85.02"," 25098","21411814","C10H21N","2,7-Dimethyl-1,7-octadien-3-amine","84.98"," 23622","77984577","C10H19N","2-Pyrrolidineacetic acid","84.94"," 11659","56879460","C6H11NO2","Menthylamine","84.42"," 25094","20706698","C10H21N","Neomenthylamine","83.85"," 25095","7231405","C10H21N","Aziridine, 1-(1,1-dimethylethyl)-2,3-dimethyl-, cis-","83.79"," 10844","56082941","C8H17N","Pyrrolidine, 2-(hydroxymethyl)-","83.77","  3802","1000163391","C5H11NO","Aziridine, 1-(1,1-dimethylethyl)-2,3-dimethyl-, trans-","83.76"," 10845","6125026","C8H17N","Decylamine, N-allyl-","83.74"," 52052","1000416165","C13H27N","Pyrrolidin-1-yl phenyl ketoxime","83.74"," 46783","1000144183","C11H14N2O",0,0,0,0,0
"25",25,0.0875,2,"Heptane, 4-azido-","89.99"," 17195","27126223","C7H15N3","N-Isopentylidene-2-butylamine","87.79"," 17298","1000249999","C9H19N","Pentanal, 3-(hydroxymethyl)-4,4-dimethyl-","87.60"," 18880","56805313","C8H16O2","Formic acid, 2-methylbutyl ester","87.39","  7525","1000367911","C6H12O2","Cyclohexylamine, N-methyl-4,4-dimethyl-","87.12"," 17320","45815916","C9H19N","Hexane, 3-ethyl-4-methyl-","87.12"," 11560","3074779","C9H20","Heptane, 3,4-dimethyl-","87.12"," 11521","922281","C9H20","Cyanic acid, sec-butyl ester","86.87","  3197","1873138","C5H9NO","Heptane, 3,4-dimethyl-","86.67"," 11522","922281","C9H20","1-Butanol, 2-methyl-","86.56","  1966","137326","C5H12O",0,0,0,0,0
"26",26,0.2107,7,"Ethanol","99.60","    88","64175","C2H6O","Hydrazine, methyl-","99.55","    95","60344","CH6N2","Hydrazine, methyl-","99.50","    97","60344","CH6N2","Ethanol","99.48","    87","64175","C2H6O","Hydrazine, methyl-","99.38","    94","60344","CH6N2","1,2-Propanediol, dinitrate","99.35"," 31713","6423434","C3H6N2O6","2,3-Butanediol, dinitrate","99.31"," 40948","6423456","C4H8N2O6","Nitroisobutanetriol trinitrate","99.21","110685","20820444","C4H6N4O11","Dimethyl ether","99.18","    90","115106","C2H6O","Ethanol, 2-nitro-, nitrate (ester)","99.13"," 14459","4528341","C2H4N2O5",0,0,0,0,0
"27",27,2.3148,85,"1-Propanol, 2-methyl-","99.71","   795","78831","C4H10O","1-Propanol, 2-methyl-","99.64","   793","78831","C4H10O","1-Propanol, 2-methyl-","99.54","   794","78831","C4H10O","1-Propanol, 2-methyl-","98.43","   791","78831","C4H10O","Isobutane","98.42","   220","75285","C4H10","Isobutane","97.32","   218","75285","C4H10","Isobutane","96.83","   217","75285","C4H10","Pentane","96.81","   651","109660","C5H12","Pentane","96.37","   649","109660","C5H12","Oxirane, ethyl-","96.29","   611","106887","C4H8O",7910293,6531303,269321,0,0
"28",28,1.5308,95,"Ethanol","99.67","    87","64175","C2H6O","Ethanol","99.62","    88","64175","C2H6O","Hydrazine, methyl-","99.27","    95","60344","CH6N2","Hydrazine, methyl-","99.25","    94","60344","CH6N2","Hydrazine, methyl-","99.16","    97","60344","CH6N2","Ethanol","99.15","    86","64175","C2H6O","Dimethyl ether","98.99","    90","115106","C2H6O","2,3-Butanediol, dinitrate","98.86"," 40948","6423456","C4H8N2O6","Dimethyl ether","98.83","    89","115106","C2H6O","1,2-Propanediol, dinitrate","98.81"," 31713","6423434","C3H6N2O6",21338476,16660962,38477207,0,0
"29",29,1.8974,86,"Propane, 1,1,3,3-tetramethoxy-","99.62"," 30522","102523","C7H16O4","1,1-Dimethoxy-2-phenylpropane","99.56"," 40576","90879","C11H16O2","Methylal","99.55","   855","109875","C3H8O2","Methylal","99.54","   856","109875","C3H8O2","Methylal","99.54","   854","109875","C3H8O2","4,5-Bis-dimethoxymethyl-octanedioic acid, dimethyl ester","99.35","147080","1000193639","C16H30O8","Propane, 1,1,3,3-tetramethoxy-","99.35"," 30523","102523","C7H16O4","Glycolaldehyde dimethyl acetal","99.19","  4586","30934975","C4H10O3","Acetic acid, 10-dimethoxymethyl-13-methyl-3-oxo-4,5,6,7,8,9,10,11,12,13,14,15,16,17-tetradecahydro-3H-cyclopenta[a]phenanthren-17-yl (ester)","98.97","162471","1000193991","C23H34O5","1H-Pyrimidine-2,4-dione, 1-(2,2-dimethoxyethyl)-5-methyl-","98.76"," 63961","1000302497","C9H14N2O4",199044,127412,514945,0,0
"30",30,2.1893,73,"Ethyl Acetate","98.24","  1853","141786","C4H8O2","Ethyl Acetate","98.10","  1857","141786","C4H8O2","Ethyl Acetate","95.98","  1856","141786","C4H8O2","Ethyl Acetate","92.41","  1855","141786","C4H8O2","Pentanoic acid, 3-methyl-4-oxo-","90.62"," 12043","6628791","C6H10O3","CH3C(O)CH2CH2OH","86.01","  1859","590909","C4H8O2","CH3C(O)CH2CH2OH","81.91","  1860","590909","C4H8O2","Acetic acid, pentyl ester","79.59"," 12177","628637","C7H14O2","CH3C(O)CH2CH2OH","79.36","  1861","590909","C4H8O2","Pentanoic acid, 2-methyl-4-oxo-","78.34"," 12042","6641834","C6H10O3",0,672694,26931,0,0
"31",31,1.4237,102,"1,2-Propanediamine","99.92","   735","78900","C3H10N2","n-Hexylmethylamine","99.90","  7241","35161707","C7H17N","1,2-Propanediamine","99.89","   731","78900","C3H10N2","dl-Alanyl-l-alanine","99.87"," 27876","59247164","C6H12N2O3","Glycidol","99.87","   743","556525","C3H6O2","l-Alanine ethylamide, (S)-","99.86","  7346","71773950","C5H12N2O","1,2-Propanediamine","99.86","   734","78900","C3H10N2","2-Pentanamine","99.86","  1759","63493287","C5H13N","1-Octanamine, N-methyl-","99.86"," 18386","2439545","C9H21N","dl-Alanine ethyl ester","99.85","  7819","17344999","C5H11NO2",910765,1143085,2808234,53120,0
"32",32,1.7929,75,"Methanesulfonic anhydride","99.02"," 36928","7143013","C2H6O5S2","Sulfurous acid, dimethyl ester","98.63","  5115","616422","C2H6O3S","Sulfurous acid, dimethyl ester","98.31","  5118","616422","C2H6O3S","Sulfurous acid, dimethyl ester","97.87","  5116","616422","C2H6O3S","Sulfurous acid, dimethyl ester","97.44","  5117","616422","C2H6O3S","2,6-Pyridinedicarboxaldehyde, 4-hydroxy-, bis[methyl(2-pyridyl)hydrazone]","97.43","151980","118252021","C19H19N7O","Xylopyranoside, methyl 4-azido-4-deoxy-, 2,3-dimethanesulfonate, .alpha.-D-","96.08","145189","6160925","C8H15N3O8S2","Tetrakis(methylsulfonyl)hydrazine","95.69","144852","86869683","C4H12N2O8S4","2,4,6-Trinitrophenol, methylsulfonate","95.31","123491","53541314","C7H5N3O9S","Carbomethoxymethanesulfinic acid, methyl ester","95.21"," 23036","1000306273","C4H8O4S",192251,741635,303427,0,0
